measure,correet_label,predicted_label,message
FN,spam,spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
TP,ham,ham,I am on the way to ur home
TP,ham,ham,"Dizzamn, aight I'll ask my suitemates when I get back"
TP,ham,ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
TP,ham,ham,I love to cuddle! I want to hold you in my strong arms right now...
TP,ham,ham,R u in this continent?
TP,ham,ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
FN,spam,spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
FN,spam,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
TP,ham,ham,K...k...when will you give treat?
FN,spam,spam,"This is the 2nd time we have tried to contact u. U have won the Ã¥Â£400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
TP,ham,ham,He's just gonna worry for nothing. And he won't give you money its no use.
TP,ham,ham,Did you get any gift? This year i didnt get anything. So bad
TP,ham,ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
TP,ham,ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
TP,ham,ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
TP,ham,ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
TP,ham,ham,I'm reaching home in 5 min.
TP,ham,ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
TP,ham,ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel 
FN,spam,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
FN,spam,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!
TP,ham,ham,Discussed with your mother ah?
TP,ham,ham,Ok.
TP,ham,ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
FN,spam,spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
TP,ham,ham,In which place i can get rooms cheap:-)
TP,ham,ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
FP,ham,spam,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
FN,spam,spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at Ã¥Â£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
FP,ham,spam,University of southern california.
TP,ham,ham,We have to pick rayan macleran there.
TP,ham,ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
TP,ham,ham,Well. Balls. Time to make calls
TP,ham,ham,Wat time Ã_ wan today?
TP,ham,ham, &lt;#&gt;  in mca. But not conform.
TP,ham,ham,Oh ok.. Wat's ur email?
TP,ham,ham,"Yes, princess. Are you going to make me moan?"
TP,ham,ham,Lol its ok I didn't remember til last nite
TP,ham,ham,"[ÂÃ_] anyway, many good evenings to u! s"
TP,ham,ham,"Cool, I'll text you in a few"
TP,ham,ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds.."
TP,ham,ham,I'm very happy for you babe ! Woo hoo party on dude!
TP,ham,ham,I am taking you for italian food. How about a pretty dress with no panties? :)
TP,ham,ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
FN,spam,spam,YOU ARE CHOSEN TO RECEIVE A Ã¥Â£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
TP,ham,ham,How are you holding up?
TP,ham,ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... 
TP,ham,ham,Hope you are not scared!
TP,ham,ham,I cant pick the phone right now. Pls send a message
TP,ham,ham,I'm at home n ready...
FN,spam,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Ã¥Â£1000 cash or Ã¥Â£5000 prize!
TP,ham,ham,What time do u get out?
TP,ham,ham,I am literally in bed and have been up for like  &lt;#&gt;  hours
TP,ham,ham,"Yes, my reg is  Ciao!"
TP,ham,ham,If You mean the website. Yes.
FN,spam,spam,Win a Ã¥Â£1000 cash prize or a prize worth Ã¥Â£5000
FN,spam,spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
TP,ham,ham,Lol or I could just starve and lose a pound by the end of the day.
TP,ham,ham,Yeah that's the impression I got
TP,ham,ham,Ok ok take care. I can understand.
TP,ham,ham,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
TP,ham,ham,"Ya ok, then had dinner?"
TP,ham,ham,I was slept that time.you there?
TP,ham,ham,dont make ne plans for nxt wknd coz she wants us to come down then ok
TP,ham,ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
TP,ham,ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
TP,ham,ham,Noice. Text me when you're here
TP,ham,ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
FN,spam,spam,Moby Pub Quiz.Win a Ã¥Â£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP Ã¥Â£1.50 008704050406 SP
FN,spam,spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only Ã¥Â£1.50/week. SavaMob - offers mobile!"
TP,ham,ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
TP,ham,ham,Hi dear we saw dear. We both are happy. Where you my battery is low
TP,ham,ham,How are you. Its been ages. How's abj
TP,ham,ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
TP,ham,ham,Dont kick coco when he's down
TP,ham,ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
FN,spam,spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
TN,spam,ham,TBS/PERSOLVO. been chasing us since Sept forÃ¥Â£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
TP,ham,ham,Hope youÃ¥Ãre not having too much fun without me!! see u tomorrow love jess x
TP,ham,ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
TP,ham,ham,I've reached home n i bathe liao... U can call me now...
FN,spam,spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
TP,ham,ham,Was the actual exam harder than NBME
TP,ham,ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
TP,ham,ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
FN,spam,spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
TP,ham,ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
TP,ham,ham,Gam gone after outstanding innings.
TP,ham,ham,O i played smash bros  &lt;#&gt;  religiously.
TP,ham,ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
TP,ham,ham,Hurry home. Soup is DONE!
TP,ham,ham,No no. I will check all rooms befor activities
TP,ham,ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
TP,ham,ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
FN,spam,spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
TP,ham,ham,Lemme know when you're here
FN,spam,spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
TP,ham,ham,He needs to stop going to bed and make with the fucking dealing
TP,ham,ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
FN,spam,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
TP,ham,ham,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj"
TP,ham,ham,I remain unconvinced that this isn't an elaborate test of my willpower
TP,ham,ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng"""
TP,ham,ham,how are you? I miss you!
TP,ham,ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
TP,ham,ham,"Hey , is * rite u put Ã¥Ã10 evey mnth is that all?"
TP,ham,ham,i am going to bed now prin
TP,ham,ham,I think just yourself ÂÃ_Thanks and see you tomo
TP,ham,ham,If u dun drive then how i go 2 sch.
TP,ham,ham,I not at home now lei...
FN,spam,spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@Ã¥Â£1.50rcvd
TP,ham,ham,Ok then i will come to ur home after half an hour
FN,spam,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
TP,ham,ham,Do u hav any frnd by name ashwini in ur college?
TP,ham,ham,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
TP,ham,ham,K then 2marrow are you coming to class.
FN,spam,spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
TP,ham,ham,Pls send me your address sir.
TP,ham,ham,I want to lick your pussy now...
TP,ham,ham,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack"
FN,spam,spam,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
TP,ham,ham,"I'll see, but prolly yeah"
TP,ham,ham,Thought we could go out for dinner. I'll treat you! Seem ok?
TP,ham,ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
TP,ham,ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
TP,ham,ham,What you doing?how are you?
TP,ham,ham,"Sure thing big man. i have hockey elections at 6, shouldnÂÃÃ·t go on longer than an hour though"
TP,ham,ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
TP,ham,ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
TP,ham,ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
TP,ham,ham,Yunny... I'm goin to be late
TP,ham,ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
TP,ham,ham,"Cool, want me to go to kappa or should I meet you outside mu"
TP,ham,ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
TP,ham,ham,May b approve panalam...but it should have more posts..
FN,spam,spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
TP,ham,ham,"Sorry, I'll call later"
TP,ham,ham,I dont thnk its a wrong calling between us
TP,ham,ham,Me i'm not workin. Once i get job...
TP,ham,ham,And by when you're done I mean now
TP,ham,ham,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But
TP,ham,ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
FN,spam,spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
TP,ham,ham,Is it your yahoo boys that bring in the perf? Or legal.
TP,ham,ham,No need to say anything to me. I know i am an outsider
TP,ham,ham,have you ever had one foot before?
TP,ham,ham,Just got to  &lt;#&gt;
TP,ham,ham,"Good! No, donÂÃÃ·t need any receiptsÂÃÃwell done! (ÂÃ_) Yes, please tell . WhatÂÃÃ·s her number, i could ring her"
TP,ham,ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
TP,ham,ham,Leave it wif me lar... ÃÃ wan to carry meh so heavy... Is da num 98321561 familiar to Ã_?
TP,ham,ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
TP,ham,ham,Infact happy new year. How are you where are you when are we seeing
TN,spam,ham,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
TP,ham,ham,That's a shame! Maybe cld meet for few hrs tomo?
TP,ham,ham,Lol I would but despite these cramps I like being a girl.
TP,ham,ham,I canÃ¥Ãt wait for cornwall. Hope tonight isnÃ¥Ãt too bad as well but itÃ¥Ãs rock night shite. Anyway iÃ¥Ãm going for a kip now have a good night. Speak to you soon.
TP,ham,ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
FN,spam,spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
TP,ham,ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
TP,ham,ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
TP,ham,ham,ÃÃ comin to fetch us oredi...
TP,ham,ham,What's nannys address?
FN,spam,spam,"URGENT!! Your 4* Costa Del Sol Holiday or Ã¥Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÃ¥Â£1.50/pm, Max10mins"
TP,ham,ham,Haf u eaten? Wat time u wan me 2 come?
FN,spam,spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
TP,ham,ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
TP,ham,ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
TP,ham,ham,It certainly puts things into perspective when something like this happens
TP,ham,ham,Now got tv 2 watch meh? U no work today?
TP,ham,ham,i felt so...not any conveying reason.. Ese he... What about me?
FN,spam,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
TP,ham,ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
TP,ham,ham,I told that am coming on wednesday.
TP,ham,ham,"Its ok, called mom instead have fun"
FN,spam,spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
TP,ham,ham,Well if I'm that desperate I'll just call armand again
TP,ham,ham,Are you at work right now ?
FN,spam,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
TP,ham,ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
TP,ham,ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
TP,ham,ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
TP,ham,ham,"Sorry, I'll call later"
TP,ham,ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
TP,ham,ham,And pls pls drink plenty plenty water
TP,ham,ham,How are you doing. How's the queen. Are you going for the royal wedding
TP,ham,ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
TP,ham,ham,Ok lor then we go tog lor...
TP,ham,ham,Two teams waiting for some players
TP,ham,ham,Can Ã_ send me a copy of da report?
TP,ham,ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
TP,ham,ham,"Ok da, i already planned. I wil pick you."
FN,spam,spam,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or Ã¥Â£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
TP,ham,ham,"Sorry, I'll call later in meeting"
TP,ham,ham,I just really need shit before tomorrow and I know you won't be awake before like 6
TP,ham,ham,I'm good. Have you registered to vote?
TP,ham,ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
TP,ham,ham,Dear got bus directly to calicut
TP,ham,ham,Mm umma ask vava also to come tell him can play later together
TP,ham,ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
TP,ham,ham,"Sorry, I'll call later"
TP,ham,ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
TP,ham,ham,&lt;#&gt;  w jetton ave if you forgot
TP,ham,ham,Ok i'm coming home now.
TP,ham,ham,Can not use foreign stamps in this country.
FN,spam,spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
TP,ham,ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
FN,spam,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
FN,spam,spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
FN,spam,spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost Ã¥Â£1.50. 2 cancel send STOP"
TP,ham,ham,I will come tomorrow di
TP,ham,ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
TP,ham,ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
TP,ham,ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ã_ not interested.
TP,ham,ham,How are you enjoying this semester? Take care brother.
FN,spam,spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
TP,ham,ham,"Get the door, I'm here"
TP,ham,ham,"Lets use it next week, princess :)"
TP,ham,ham,Or i go home first lar Ã_ wait 4 me lor.. I put down my stuff first..
TP,ham,ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
TP,ham,ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
TP,ham,ham,Oi when you gonna ring
TN,spam,ham,Missed call alert. These numbers called but left no message. 07008009200
TP,ham,ham,I attended but nothing is there.
TP,ham,ham,Ard 530 like dat lor. We juz meet in mrt station then Ã_ dun haf to come out.
TP,ham,ham,No dear i was sleeping :-P
TP,ham,ham,Er mw im filled tuth is aight
TP,ham,ham,Will be office around 4 pm. Now i am going hospital.
TP,ham,ham,Actually i'm waiting for 2 weeks when they start putting ad.
TP,ham,ham,Anything lor if they all go then i go lor...
